"strain"	"replicate"	"age.at.death"	"rupture"
"85"	"N2"	2	30	1
"86"	"N2"	2	30	1
"87"	"N2"	2	32	1
"88"	"N2"	2	34	1
"89"	"N2"	2	34	1
"90"	"N2"	2	34	1
"91"	"N2"	2	34	1
"92"	"N2"	2	39	1
"93"	"N2"	2	39	1
"94"	"N2"	2	15	2
"95"	"N2"	2	18	2
"96"	"N2"	2	18	2
"97"	"N2"	2	22	2
"98"	"N2"	2	22	2
"99"	"N2"	2	22	2
"100"	"N2"	2	22	2
"101"	"N2"	2	25	2
"102"	"N2"	2	25	2
"103"	"N2"	2	25	2
"104"	"N2"	2	25	2
"105"	"N2"	2	25	2
"106"	"N2"	2	25	2
"107"	"N2"	2	28	2
"108"	"N2"	2	28	2
"109"	"N2"	2	28	2
"110"	"N2"	2	28	2
"111"	"N2"	2	28	2
"112"	"N2"	2	28	2
"113"	"N2"	2	28	2
"114"	"N2"	2	28	2
"115"	"N2"	2	28	2
"116"	"N2"	2	30	2
"117"	"N2"	2	30	2
"118"	"N2"	2	30	2
"119"	"N2"	2	30	2
"120"	"N2"	2	32	2
"121"	"N2"	2	32	2
"122"	"N2"	2	32	2
"123"	"N2"	2	32	2
"124"	"N2"	2	34	2
"125"	"N2"	2	34	2
"126"	"N2"	2	34	2
"127"	"N2"	2	34	2
"128"	"N2"	2	34	2
"129"	"N2"	2	36	2
"130"	"N2"	2	36	2
"131"	"N2"	2	36	2
"132"	"N2"	2	36	2
"133"	"N2"	2	36	2
"134"	"N2"	2	39	2
"135"	"N2"	2	15	3
"136"	"N2"	2	20	3
"137"	"N2"	2	20	3
"138"	"N2"	2	20	3
"139"	"N2"	2	22	3
"140"	"N2"	2	22	3
"141"	"N2"	2	25	3
"142"	"N2"	2	25	3
"143"	"N2"	2	25	3
"144"	"N2"	2	25	3
"145"	"N2"	2	34	3
"146"	"rol-6"	1	28	0
"147"	"rol-6"	1	34	0
"148"	"rol-6"	1	34	0
"149"	"rol-6"	1	36	0
"150"	"rol-6"	1	36	0
"151"	"rol-6"	1	36	0
"152"	"rol-6"	1	30	1
"153"	"rol-6"	1	30	1
"154"	"rol-6"	1	30	1
"155"	"rol-6"	1	30	1
"156"	"rol-6"	1	30	1
"157"	"rol-6"	1	30	1
"158"	"rol-6"	1	30	1
"159"	"rol-6"	1	30	1
"160"	"rol-6"	1	30	1
"161"	"rol-6"	1	32	1
"162"	"rol-6"	1	32	1
"163"	"rol-6"	1	32	1
"164"	"rol-6"	1	32	1
"165"	"rol-6"	1	18	2
"166"	"rol-6"	1	22	2
"167"	"rol-6"	1	22	2
"168"	"rol-6"	1	22	2
"169"	"rol-6"	1	22	2
"170"	"rol-6"	1	22	2
"171"	"rol-6"	1	25	2
"172"	"rol-6"	1	25	2
"173"	"rol-6"	1	25	2
"174"	"rol-6"	1	25	2
"175"	"rol-6"	1	25	2
"176"	"rol-6"	1	25	2
"177"	"rol-6"	1	25	2
"178"	"rol-6"	1	28	2
"179"	"rol-6"	1	28	2
"180"	"rol-6"	1	28	2
"181"	"rol-6"	1	28	2
"182"	"rol-6"	1	28	2
"183"	"rol-6"	1	28	2
"184"	"rol-6"	1	28	2
"185"	"rol-6"	1	28	2
"186"	"rol-6"	1	28	2
"187"	"rol-6"	1	28	2
"188"	"rol-6"	1	30	2
"189"	"rol-6"	1	30	2
"190"	"rol-6"	1	30	2
"191"	"rol-6"	1	30	2
"192"	"rol-6"	1	15	3
"193"	"rol-6"	1	20	3
"194"	"rol-6"	1	25	3
"195"	"rol-6"	1	25	3
"196"	"rol-6"	1	25	3
"197"	"rol-6"	2	32	0
"198"	"rol-6"	2	32	0
"199"	"rol-6"	2	34	0
"200"	"rol-6"	2	34	0
"201"	"rol-6"	2	34	0
"202"	"rol-6"	2	34	0
"203"	"rol-6"	2	34	0
